age,listening_time,songs_played_per_day,skip_rate,is_churned
54,26,23,0.2,1
33,141,62,0.34,0
38,199,38,0.04,1
22,36,2,0.31,0
29,250,57,0.36,1
17,219,35,0.46,0
39,289,44,0.38,0
41,210,68,0.11,0
55,50,66,0.29,0
44,278,94,0.38,0
33,86,44,0.11,0
24,113,24,0.56,1
37,24,86,0.11,0
53,45,47,0.6,0
37,114,13,0.44,1
25,230,25,0.26,0
36,181,93,0.23,0
58,120,8,0.41,0
34,160,32,0.35,0
35,281,51,0.35,0
33,138,60,0.6,0
49,20,7,0.45,0
45,138,95,0.1,0
44,134,97,0.42,0
32,133,22,0.59,0
19,39,29,0.53,0
28,293,67,0.33,1
58,15,55,0.3,0
33,123,13,0.22,0
22,18,12,0.39,0
44,149,45,0.22,0
53,72,12,0.17,0
49,291,74,0.11,0
49,147,52,0.43,0
55,18,2,0.04,0
24,59,53,0.18,1
22,280,99,0.29,0
50,117,98,0.04,0
42,47,59,0.06,0
17,260,44,0.5,1
51,122,16,0.54,0
46,255,14,0.39,0
22,49,39,0.51,0
37,90,89,0.4,0
39,288,69,0.48,0
18,255,3,0.39,0
56,255,75,0.58,0
58,26,23,0.08,0
59,238,60,0.29,0
50,241,7,0.56,1
45,124,98,0.36,0
56,175,67,0.38,0
38,41,3,0.0,1
57,222,96,0.26,0
46,121,71,0.32,0
41,277,2,0.59,0
19,107,82,0.11,1
48,198,63,0.23,0
22,59,51,0.42,0
17,95,79,0.53,1
25,262,23,0.17,0
49,169,26,0.56,0
59,25,32,0.2,0
45,55,67,0.51,1
45,161,42,0.4,1
21,77,42,0.56,0
45,152,32,0.49,1
45,156,51,0.14,0
22,99,43,0.17,0
56,181,40,0.21,0
51,265,81,0.36,0
22,131,70,0.35,0
33,19,68,0.32,1
59,201,15,0.05,0
41,223,53,0.33,0
25,111,83,0.19,0
41,81,6,0.47,0
30,124,73,0.43,0
23,13,30,0.24,0
47,31,72,0.53,1
34,277,87,0.3,0
45,181,69,0.59,0
32,167,4,0.56,0
51,105,11,0.03,0
21,202,79,0.45,0
20,284,38,0.23,0
21,125,82,0.43,0
44,237,36,0.37,0
50,99,15,0.15,0
52,224,49,0.38,0
43,195,80,0.17,0
41,173,85,0.22,0
57,210,7,0.25,0
50,85,7,0.45,0
35,93,1,0.4,0
51,222,97,0.03,1
34,196,69,0.07,0
47,215,13,0.02,1
19,22,45,0.29,1
30,283,13,0.02,0
27,40,15,0.5,0
25,251,91,0.12,0
47,240,61,0.56,0
33,160,76,0.06,0
46,114,11,0.24,0
50,251,9,0.39,0
31,181,89,0.11,1
45,215,16,0.26,0
51,119,11,0.05,0
33,224,34,0.11,0
42,31,61,0.29,0
16,17,10,0.27,0
31,174,29,0.13,1
40,31,48,0.33,0
57,84,40,0.58,0
17,198,31,0.07,0
31,272,40,0.12,1
45,21,73,0.16,0
59,251,47,0.14,0
49,95,81,0.36,0
59,169,20,0.18,1
47,35,20,0.32,1
21,32,34,0.52,1
28,55,67,0.53,0
47,120,26,0.48,0
46,11,67,0.4,1
20,194,52,0.2,0
34,81,85,0.29,0
24,217,52,0.45,0
40,11,11,0.42,1
48,72,35,0.53,0
47,162,94,0.29,0
33,271,57,0.36,1
20,218,6,0.02,1
55,94,24,0.3,0
58,295,72,0.43,0
41,286,35,0.42,0
53,298,37,0.5,0
50,261,20,0.39,1
55,201,82,0.5,1
56,40,84,0.56,0
18,30,78,0.42,0
29,109,88,0.45,1
28,171,19,0.48,1
24,223,31,0.09,0
44,52,17,0.2,0
18,195,94,0.49,0
40,198,78,0.0,0
22,285,2,0.3,0
34,278,83,0.24,0
44,251,57,0.37,0
58,158,52,0.27,0
41,14,41,0.59,0
52,280,81,0.27,1
26,257,14,0.13,0
42,21,76,0.56,1
27,237,27,0.16,0
48,224,53,0.07,0
24,216,76,0.28,0
34,137,97,0.32,0
28,209,84,0.53,0
17,36,30,0.19,1
50,95,50,0.49,1
35,298,25,0.11,1
20,224,51,0.23,1
50,205,43,0.48,0
23,95,31,0.37,0
20,289,17,0.28,0
51,168,28,0.54,0
18,211,48,0.48,1
29,63,99,0.38,0
39,124,83,0.52,0
51,275,56,0.05,0
